ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གཞུར | བཞུར_མ་འོངས་པ།_ཐ་དད་པ+གཞུར_སྐུལ་ཚིག_ཐ་དད་པ+བཞུར_ད་ལྟ་བ།_ཐ་དད་པ+གཞུར_ད་ལྟ་བ།_ཐ་དད་པ+བཞུར_སྐུལ་ཚིག_ཐ་དད་པ+གཞུར_མ་འོངས་པ།_ཐ་དད་པ
གཞུས | གཞུས_སྐུལ་ཚིག_ཐ་དད་པ+གཞུ_འདས་པ།_ཐ་དད་པ+གཞུ_སྐུལ་ཚིག_ཐ་དད་པ+གཞུས_འདས་པ།_ཐ་དད་པ
གཞེན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཞེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཞེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཞོག | གཞོག_མ་འོངས་པ།_ཐ་དད་པ+གཞོག_ད་ལྟ་བ།_ཐ་དད་པ
གཞོགས | བཞོག_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གཞོབ | གཞབ_སྐུལ་ཚིག_###+གཞོབས_ད་ལྟ་བ།_ཐ་དད་པ+གཞོབས_མ་འོངས་པ།_ཐ་དད་པ+གཞོབ_ད་ལྟ་བ།_ཐ་དད་པ+གཞོབ_མ་འོངས་པ།_ཐ་དད་པ+གཞབ_སྐུལཚིག_འབྲི་ཚུལ
གཞོབས | གཞོབས_སྐུལ་ཚིག_ཐ་དད་པ+གཞོབ_འདས་པ།_ཐ་དད་པ+གཞོབ_སྐུལ་ཚིག_ཐ་དད་པ+གཞོབས_འདས་པ།_ཐ་དད་པ
གཞོམ | འཇོམས_མ་འོངས་པ།_ཐ་དད་པ
གཞོར | གཞར_སྐུལཚིག_འབྲི་ཚུལ
གཞོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_###
གཞོས | འཇོ_སྐུལཚིག_འབྲི་ཚུལ
གཟག | གཟག_མ་འོངས་པ།_ཐ་དད་པ+གཟག_ད་ལྟ་བ།_ཐ་དད་པ
གཟགས | གཟག_འདས་པ།_ཐ་དད་པ
གཟན | གཟན_ད་ལྟ་བ།_###+གཟན_འདས་པ།_###+གཟན_མ་འོངས་པ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཟབ | གཟབ_ད་ལྟ་བ།_ཐ་དད་པ+གཟབ_མ་འོངས་པ།_ཐ་དད་པ
གཟར | འཛར_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟར_འདས་པ།_ཐ་དད་པ+འཛར_འདས་པ།_ཐ་མི་དད་པ+གཟར_ད་ལྟ་བ།_ཐ་དད་པ+འཛར_མ་འོངས་པ།_ཐ་དད་པ+གཟར_མ་འོངས་པ།_ཐ་དད་པ
གཟས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཟིགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཟིང | གཟེང_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ
གཟིམ | གཟིམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཟིམས_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟིམ_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟིམས_ད་ལྟ་བ།_ཐ་མི་དད་པ
གཟིམས | གཟིམས_འདས་པ།_ཐ་མི་དད་པ+གཟིམ_སྐུལ་ཚིག_ཐ་མི་དད་པ+གཟིམ_འདས་པ།_ཐ་མི་དད་པ+གཟིམས_སྐུལ་ཚིག_ཐ་མི་དད་པ
གཟིར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཟུགས | འཛུགས_མ་འོངས་པ།_ཐ་དད་པ+འཛུགས_མ་འོངས་པ།_###
གཟུང | འཛིན_མ་འོངས་པ།_ཐ་དད་པ+འཛིན_མ་འོངས་པ།_###
གཟུད | འཛུད_མ་འོངས་པ།_ཐ་དད་པ
གཟུམ | གཟུམ_མ་འོངས་པ།_ཐ་དད་པ
གཟུར | འཛུར_མ་འོངས་པ།_ཐ་མི་དད་པ
གཟེག | བྱ་ཚིག_ཐ་མི་དད་པ
གཟེང | གཟེང_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟེང_ད་ལྟ་བ།_ཐ་མི་དད་པ
གཟེངས | གཟེང_འདས་པ།_ཐ་མི་དད་པ
གཟེད | འཛེད_མ་འོངས་པ།_ཐ་དད་པ
གཟེམ | བྱ་ཚིག_ཐ་དད་པ+འཛེམ_མའོངསཔ_འབྲི་ཚུལ
གཟེར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཛར_སྐུལ་ཚིག_ཐ་དད་པ
གཟོ | གཟོ_ད་ལྟ་བ།_ཐ་དད་པ+གཟོ_མ་འོངས་པ།_ཐ་དད་པ+གཟོས_མ་འོངས་པ།_ཐ་དད་པ+གཟོས_ད་ལྟ་བ།_ཐ་དད་པ
གཟོགས | གཟག_སྐུལ་ཚིག_ཐ་དད་པ
གཟོན | གཟན_སྐུལ་ཚིག_###
གཟོབ | གཟབ_དལྟབ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གཟོབས | གཟབ_སྐུལ་ཚིག_ཐ་དད་པ
གཟོར | གཟར_སྐུལ་ཚིག_ཐ་དད་པ
གཟོས | གཟོས_སྐུལ་ཚིག_ཐ་དད་པ+གཟོས_འདས་པ།_ཐ་དད་པ+གཟོ_འདས་པ།_ཐ་དད་པ+གཟོ_སྐུལ་ཚིག_ཐ་དད་པ
གཡབ | གཡབས_མ་འོངས་པ།_ཐ་དད་པ+གཡོབ_མ་འོངས་པ།_ཐ་དད་པ
གཡབས | གཡབས_འདས་པ།_ཐ་དད་པ+གཡོབ_འདས་པ།_ཐ་དད་པ
གཡར | གཡར_ད་ལྟ་བ།_ཐ་དད་པ+གཡར_འདས་པ།_ཐ་དད་པ+གཡར_མ་འོངས་པ།_ཐ་དད་པ
གཡལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཡིག | གཡིག_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཡིག_མ་འོངས་པ།_ཐ་མི་དད་པ
གཡིགས | གཡིག_འདས་པ།_ཐ་མི་དད་པ
གཡུག | གཡུག_མ་འོངས་པ།_###+གཡུག_ད་ལྟ་བ།_###+གཡུག_མ་འོངས་པ།_ཐ་དད་པ+གཡུགས_ད་ལྟ་བ།_ཐ་དད་པ+གཡུགས_མ་འོངས་པ།_ཐ་དད་པ+གཡུག_ད་ལྟ་བ།_ཐ་དད་པ
གཡུགས | གཡུག_འདས་པ།_ཐ་དད་པ+གཡུགས_སྐུལ་ཚིག_ཐ་དད་པ+གཡུག_འདས་པ།_###+གཡུག_སྐུལ་ཚིག_ཐ་དད་པ+གཡུག_སྐུལ་ཚིག_###+གཡུགས_འདས་པ།_ཐ་དད་པ
གཡུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཡེང | གཡེང_མ་འོངས་པ།_###+གཡེངས_ད་ལྟ་བ།_ཐ་དད་པ+གཡེང_ད་ལྟ་བ།_ཐ་དད་པ+གཡེང_མ་འོངས་པ།_ཐ་དད་པ+གཡེངས_མ་འོངས་པ།_ཐ་དད་པ+གཡེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཡེང_ད་ལྟ་བ།_###+གཡེང_མ་འོངས་པ།_ཐ་མི་དད་པ
གཡེངས | གཡེང_འདས་པ།_###+གཡེང_འདས་པ།_ཐ་དད་པ+གཡེངས_འདས་པ།_ཐ་དད་པ+གཡེངས_སྐུལ་ཚིག_ཐ་དད་པ+གཡེང_འདས་པ།_ཐ་མི་དད་པ+གཡེང_སྐུལ་ཚིག_ཐ་དད་པ
གཡེམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཡེལ | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཡོ | གཡོ_མ་འོངས་པ།_ཐ་མི་དད་པ+གཡོ_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཡོས_མ་འོངས་པ།_ཐ་མི་དད་པ+གཡོས_མ་འོངས་པ།_ཐ་དད་པ+གཡོ_ད་ལྟ་བ།_ཐ་དད་པ+གཡོས_ད་ལྟ་བ།_ཐ་དད་པ+གཡོས_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཡོ_མ་འོངས་པ།_ཐ་དད་པ
གཡོག | གཡོག_ད་ལྟ་བ།_###+གཡོག_ད་ལྟ་བ།_ཐ་དད་པ+གཡོག_མ་འོངས་པ།_ཐ་དད་པ+གཡོགས_མ་འོངས་པ།_ཐ་དད་པ+གཡོག_མ་འོངས་པ།_###+གཡོགས_ད་ལྟ་བ།_ཐ་དད་པ
གཡོགས | གཡོག_འདས་པ།_ཐ་དད་པ+གཡོགས_འདས་པ།_ཐ་དད་པ+གཡོག_སྐུལ་ཚིག_###+གཡོགས_སྐུལ་ཚིག_ཐ་དད་པ+གཡོག_སྐུལ་ཚིག_ཐ་དད་པ+གཡོག_འདས་པ།_###
གཡོབ | གཡབས_ད་ལྟ་བ།_ཐ་དད་པ+གཡོབ_ད་ལྟ་བ།_ཐ་དད་པ
གཡོབས | གཡོབ_སྐུལ་ཚིག_ཐ་དད་པ+གཡབས_སྐུལ་ཚིག_ཐ་དད་པ
གཡོར | གཡར_སྐུལ་ཚིག_ཐ་དད་པ
གཡོས | གཡོ_སྐུལ་ཚིག_ཐ་མི་དད་པ+གཡོ_འདས་པ།_ཐ་དད་པ+གཡོས_སྐུལ་ཚིག_ཐ་དད་པ+གཡོས_འདས་པ།_ཐ་མི་དད་པ+གཡོས_འདས་པ།_ཐ་དད་པ+གཡོ_སྐུལ་ཚིག_ཐ་དད་པ+གཡོ_འདས་པ།_ཐ་མི་དད་པ+གཡོས_སྐུལ་ཚིག_ཐ་མི་དད་པ
གཤག | གཤོག_མ་འོངས་པ།_ཐ་དད་པ
གཤགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###+གཤོག_འདས་པ།_ཐ་དད་པ
གཤར | གཤར_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཤར_མ་འོངས་པ།_ཐ་མི་དད་པ
གཤལ | བཤལ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གཤིབ | གཤིབ_ད་ལྟ་བ།_###+གཤིབས_ད་ལྟ་བ།_ཐ་དད་པ+གཤིབ_མ་འོངས་པ།_###+གཤིབ_ད་ལྟ་བ།_ཐ་དད་པ+གཤིབ_མ་འོངས་པ།_ཐ་དད་པ+གཤིབས_མ་འོངས་པ།_ཐ་དད་པ
གཤིབས | གཤིབ_སྐུལ་ཚིག_ཐ་དད་པ+གཤིབས_སྐུལ་ཚིག_ཐ་དད་པ+གཤིབ_འདས་པ།_ཐ་དད་པ+གཤིབས_འདས་པ།_ཐ་དད་པ+གཤིབ_འདས་པ།_###+གཤིབ_སྐུལ་ཚིག_###
གཤུ | གཤུ_ད་ལྟ་བ།_ཐ་དད་པ
གཤུང | གཤུང_ད་ལྟ་བ།_ཐ་དད་པ
གཤུད | བཤུད_མ་འོངས་པ།_###+བཤུད_ད་ལྟ་བ།_###+གཤུད_མ་འོངས་པ།_ཐ་དད་པ+གཤུད_ད་ལྟ་བ།_ཐ་དད་པ
གཤུམ | བཤུམ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ
གཤུར | གཤུར_ད་ལྟ་བ།_ཐ་དད་པ+བཤུར_ད་ལྟ་བ།_ཐ་དད་པ
གཤེ | གཤེ_མ་འོངས་པ།_ཐ་དད་པ+གཤེས_མ་འོངས་པ།_ཐ་དད་པ+གཤེ_ད་ལྟ་བ།_ཐ་དད་པ+གཤེས_ད་ལྟ་བ།_ཐ་དད་པ
གཤེགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གཤེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+གཤེར_ད་ལྟ་བ།_###+བཤེར_ད་ལྟ་བ།_ཐ་དད་པ
གཤེས | གཤེ_འདས་པ།_ཐ་དད་པ+གཤེས_འདས་པ།_ཐ་དད་པ+གཤེ_སྐུལ་ཚིག_ཐ་དད་པ+གཤེས_སྐུལ་ཚིག_ཐ་དད་པ
གཤོ | གཤོས_ད་ལྟ་བ།_ཐ་དད་པ+གཤོ_ད་ལྟ་བ།_###+གཤོས_མ་འོངས་པ།_ཐ་དད་པ+གཤོ_མ་འོངས་པ།_###+གཤོ_ད་ལྟ་བ།_ཐ་དད་པ
གཤོག | གཤོག_ད་ལྟ་བ།_ཐ་དད་པ
གཤོགས | གཤོག_སྐུལ་ཚིག_ཐ་དད་པ
གཤོང | གཤོང_ད་ལྟ་བ།_###+གཤོང_ད་ལྟ་བ།_ཐ་དད་པ
གཤོངས | གཤོང_སྐུལ་ཚིག_###+གཤོང_སྐུལ་ཚིག_ཐ་དད་པ
གཤོམ | གཤོམ_ད་ལྟ་བ།_ཐ་དད་པ+གཤོམ_ད་ལྟ་བ།_###
གཤོར | གཤོར_ད་ལྟ་བ།_###+གཤོར_ད་ལྟ་བ།_ཐ་དད་པ+གཤར_སྐུལ་ཚིག_ཐ་མི་དད་པ+བཤོར_ད་ལྟ་བ།_ཐ་དད་པ+བཤོར_སྐུལ་ཚིག_ཐ་དད་པ+གཤོར_སྐུལ་ཚིག_ཐ་དད་པ+གཤོར_སྐུལ་ཚིག_###
གཤོལ | གཤོལ_སྐུལཚིག_འབྲི་ཚུལ
གཤོས | གཤོས_འདས་པ།_ཐ་དད་པ+གཤོས_སྐུལ་ཚིག_ཐ་དད་པ+གཤོ_འདས་པ།_###+གཤོ_སྐུལ་ཚིག_###
གས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གསག | གསོག_མའོངསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གསང | གསང_མ་འོངས་པ།_ཐ་དད་པ+གསང_འདས་པ།_ཐ་དད་པ+གསང_ད་ལྟ་བ།_ཐ་དད་པ
གསངས | གསང_འདསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གསད | གསོད_མ་འོངས་པ།_###+གསོད_མ་འོངས་པ།_ཐ་དད་པ
གསན | གསན_ད་ལྟ་བ།_ཐ་དད་པ+གསན_འདས་པ།_ཐ་དད་པ+གསན_མ་འོངས་པ།_ཐ་དད་པ
གསབ | གསོབ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གསིག | གསིག_ད་ལྟ་བ།_ཐ་དད་པ
གསིགས | གསིག_སྐུལཚིག_འབྲི་ཚུལ
གསིང | གསིང_ད་ལྟ་བ།_ཐ་དད་པ
གསིངས | གསིང_སྐུལ་ཚིག_ཐ་དད་པ
གསིར | བསིར_ད་ལྟ་བ།_ཐ་དད་པ+གསིར_ད་ལྟ་བ།_ཐ་དད་པ+གསིར_སྐུལ་ཚིག_ཐ་དད་པ+བསིར_སྐུལ་ཚིག_ཐ་དད་པ
གསིལ | གསིལ_ད་ལྟ་བ།_###+བསིལ_སྐུལ་ཚིག_ཐ་དད་པ+གསིལ_སྐུལ་ཚིག_###+བསིལ_ད་ལྟ་བ།_ཐ་དད་པ+གསིལ_ད་ལྟ་བ།_ཐ་དད་པ+གསིལ_སྐུལ་ཚིག_ཐ་དད་པ
གསུང | གསུང_ད་ལྟ་བ།_ཐ་དད་པ+གསུངས_མ་འོངས་པ།_ཐ་དད་པ+གསུང_མ་འོངས་པ།_ཐ་དད་པ+གསུངས_ད་ལྟ་བ།_ཐ་དད་པ
གསུངས | གསུང_འདས་པ།_ཐ་དད་པ+གསུངས_སྐུལ་ཚིག_ཐ་དད་པ+གསུངས_འདས་པ།_ཐ་དད་པ+གསུང_སྐུལ་ཚིག_ཐ་དད་པ
གསུབ | གསུབ_མ་འོངས་པ།_ཐ་དད་པ+གསུབས_ད་ལྟ་བ།_ཐ་དད་པ+གསུབས_མ་འོངས་པ།_ཐ་དད་པ+གསུབ_ད་ལྟ་བ།_ཐ་དད་པ
གསུབས | གསུབས_སྐུལ་ཚིག_ཐ་དད་པ+གསུབ_སྐུལ་ཚིག_ཐ་དད་པ+གསུབས_འདས་པ།_ཐ་དད་པ
གསུར | བྱ་ཚིག_ཐ་དད་པ
གསེ | གསེས_ད་ལྟ་བ།_ཐ་དད་པ+གསེ_མ་འོངས་པ།_ཐ་དད་པ+གསེ_ད་ལྟ་བ།_ཐ་དད་པ+གསེས_མ་འོངས་པ།_ཐ་དད་པ
གསེག | གསེག_ད་ལྟ་བ།_ཐ་དད་པ
གསེད | བསེད_མ་འོངས་པ།_ཐ་དད་པ+བསེད_ད་ལྟ་བ།_ཐ་དད་པ+གསེད_ད་ལྟ་བ།_ཐ་དད་པ+གསེད_མ་འོངས་པ།_ཐ་དད་པ
གསེས | གསེ_འདས་པ།_ཐ་དད་པ+གསེ_སྐུལ་ཚིག_ཐ་དད་པ+གསེས_འདས་པ།_ཐ་དད་པ+གསེས_སྐུལ་ཚིག_ཐ་དད་པ
